benzaldehyde,B5,L,d-y(μL),∆∆G‡
3-F,3.72,6.34,-1.88,2.27
3-Cl,4.37,6.34,-1.82,2.13
3-Br,4.65,6.34,-1.79,1.85
3-I,5.06,6.42,-1.91,1.60
3-COOMe,5.30,8.66,-3.85,1.63
3-CF3,4.81,7.16,-1.27,1.22
3-NO2,4.91,7.11,-0.23,1.13
4-F,3.23,7.03,-1.32,2.27
4-Cl,3.23,7.74,-1.19,2.27
4-Br,3.23,8.05,-1.12,2.44
4-I,3.24,8.39,-1.34,2.27
4-COOMe,3.61,9.26,-2.00,2.08
4-CF3,3.23,7.75,0.18,2.13
4-CN,3.23,8.43,1.96,1.55
"3,5-Cl",4.56,6.34,-0.96,1.51
"3,5-Br",4.85,6.34,-0.93,1.26
