Name,BL32-1,BL1-6,BL6-34,BL5-12,BL12-11,BL33-11,BL11-16,BL16-31,BL6-5,BA32-1-6,BA1-6-34,BA1-6-5,BA6-5-12,BA5-12-11,BA12-11-33,BA5-6-34,BA33-11-16,BA11-16-31,BA12-11-16,DA32-1-6-34,DA32-1-6-5,DA1-6-5-12,DA5-12-11-33,DA12-11-16-31,DA33-11-16-31,DA6-5-12-11,NB32-34,NB33-31,NB1-34,NB33-16,NMR 32,NMR1,NMR6,NMR34,NMR33,NMR11,NMR12,NMR5,NMR16,NMR31,q32,q1,q6,q34,q33,q11,q12,q5,q16,q31,HOMO,LUMO,VF5-12,VF6-34,VF11-33,VF1-32,VF16-31,VI5-12,VI6-34,VI11-33,VI1-32,VI16-31,L1R1,B1R1,B5R1,L1R2,B1R2,B5R2,L1R3,B1R3,B5R3,L1R4,B1R4,B5R4,Area, Vol,PSA, Ovality,MW,dipolemoment,RCx,RCy,RCz,BL12-16S,NMR12-S,NMR16-S,q12-S,q16-S,HOMO-S,LUMO-S,VF12-16S,VI12-16S,Area-S, Vol-S,PSA-S, Ovality-S,MW-S,dipolemoment-S,RCx-S,RCy-S,RCz-S,%ee
R118,1.09,1.41,1.38,1.49,1.38,1.37,1.42,1.09,1.38,118.45,117.87,122.52,118.43,118.8,120.28,119.59,117.87,118.2,122.25,0.19,178.59,178.41,0.2,178.33,0.56,52.47,2.59,2.58,2.39,2.38,23.33,62.19,35.26,147.21,170.01,34.27,59.11,58.82,60.54,23.26,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.08,-0.28,0.27,-0.25,-0.02,1525.15,1254.64,1254.64,3244.72,3233.94,100.47,141.97,141.97,3.54,3.85,2,1,1,7.84,1.45,3.87,4.55,1.35,6.76,2,1,1,377.23,386.01,15.78,1.47,385.4,2.93,0.25,0.15,0.11,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,0
R110,1.09,1.41,1.38,1.49,1.38,1.37,1.41,1.09,1.38,118.48,117.78,122.54,118.5,118.65,120.16,119.65,117.78,118.28,122.33,0.3,178.6,178.54,0.5,178.49,0.64,52.7,2.59,2.58,2.39,2.38,23.31,61.96,35.28,144.98,171.09,34.37,59.61,58.63,61.01,23.33,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1525.7,1384.93,1384.93,3229.56,3224.53,97.82,171.4,171.4,4.78,5.87,2,1,1,7.17,1.96,3.87,5.39,1.35,6.38,2,1,1,392.51,397.44,15.44,1.5,387.42,2.49,0.24,0.15,0.11,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,1
R134,1.09,1.41,1.38,1.49,1.38,1.37,1.42,1.09,1.38,118.39,117.82,122.55,118.62,119.08,120.68,119.62,117.82,118.14,122.13,0.06,178.8,178.33,0.62,177.55,0.22,52.28,2.59,2.57,2.39,2.38,23.34,62.07,35.57,146.05,167.21,33.81,60.05,58.99,60.5,23.25,0.27,-0.28,0.32,-0.83,-0.83,0.33,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1521.67,1252.37,1252.37,3235.76,3237.19,99.89,154.52,154.52,4.27,4.58,2,1,1,8.84,1.47,3.89,4.93,1.35,7.63,2,1,1,408.26,420.03,15.68,1.51,413.46,2.65,0.24,0.11,0.09,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,1
R126,1.09,1.41,1.38,1.49,1.38,1.37,1.41,1.09,1.38,118.46,117.75,122.5,118.43,118.61,120.13,119.72,117.75,118.3,122.34,0.49,178.65,178.46,0.38,178.49,0.71,52.56,2.59,2.58,2.39,2.39,23.31,61.99,35.48,140.79,169.69,34.53,59.37,58.69,60.91,23.32,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1525.5,1385.31,1385.31,3225.62,3224.92,99.41,192.88,192.88,5.62,6.31,2,1,1,7.72,2,3.86,4.58,1.35,7.56,2,1,1,392.45,402.63,15.53,1.49,399.43,2.62,0.24,0.13,0.1,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,3
R102,1.09,1.41,1.38,1.49,1.38,1.37,1.41,1.09,1.38,118.47,117.77,122.55,118.5,118.63,120.18,119.65,117.77,118.3,122.3,0.64,178.79,178.7,0.71,178.28,0.65,52.59,2.59,2.58,2.39,2.39,23.35,62.15,35.66,140.62,171.02,34.78,59.36,58.71,60.88,23.38,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1523.48,1386.47,1386.47,3224.64,3230.77,95.25,157.78,157.78,5.26,8.49,2,1,1,6.57,1.35,3.87,4.58,1.35,5.49,2,1,1,354.56,360.63,15.63,1.45,359.37,2.33,0.26,0.2,0.13,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,6
R158,1.09,1.41,1.38,1.49,1.38,1.38,1.41,1.09,1.38,118.52,117.94,122.49,118.43,118.56,120.05,119.55,117.94,118.36,122.34,0.22,178.66,178.87,0.51,178.71,0.63,52.79,2.59,2.58,2.39,2.39,23.34,62.04,35.74,141.47,172.69,34.82,59.31,58.56,61.09,23.28,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1526.26,1384.46,1384.46,3232.51,3223.89,97.91,163.72,163.72,6.73,5.36,2,1,1,9.98,2.57,3.87,5.29,1.35,9.75,2,1,1,434.28,449.7,15.51,1.53,447.47,2.21,0.23,0.08,0.07,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,12
R150,1.09,1.41,1.38,1.49,1.38,1.38,1.41,1.09,1.38,118.5,117.86,122.5,118.55,118.62,120.11,119.62,117.86,118.34,122.34,0.3,178.66,178.73,0.87,178.3,0.59,52.85,2.59,2.58,2.39,2.39,23.32,62.09,35.87,141.95,172.27,34.95,59.14,58.58,60.9,23.33,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1526.07,1384.71,1384.71,3228.01,3224.58,102.04,176.82,176.82,7.88,3.18,2,1,1,11.65,2.09,5.32,4.58,1.35,11.78,2,1,1,466.57,480.84,17.67,1.57,476.52,1.18,0.21,0.06,0.05,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,17
R236,1.09,1.42,1.37,1.49,1.38,1.38,1.42,1.09,1.38,119.35,120.41,121.42,119.19,119.94,119.46,118.07,118.8,118.5,121.74,4.29,179.66,178.44,2.86,179.67,1.01,100.3,2.66,2.61,2.42,2.4,23.13,62.16,30.99,221.75,227.09,28.06,57.28,59.07,52.11,23.39,0.27,-0.3,0.34,-0.82,-0.83,0.33,-0.08,-0.09,-0.08,0.27,-0.25,-0.01,1099.35,1275.05,1262.78,3219.89,3217.55,56.99,250.5,297.02,19.48,5.05,2,1,1,5.64,1.35,5.5,5.64,1.35,5.5,2,1,1,533.67,545.43,11.14,1.65,514.59,2.77,0.12,0.1,0.09,1.33,61.66,47.91,-0.38,0,-0.31,-0.01,1738.29,229.01,150.24,125.17,46.99,1.24,129.12,10.36,3.09,1.18,0.88,21
R142,1.09,1.41,1.38,1.49,1.38,1.38,1.41,1.09,1.38,118.48,117.73,122.55,118.43,118.64,120.11,119.69,117.73,118.34,122.4,0.61,178.71,178.42,0.45,178.42,0.82,52.55,2.59,2.58,2.39,2.39,23.33,62.15,35.73,141.85,170.07,34.82,59.34,58.8,60.99,23.32,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1524.66,1385.09,1385.09,3224.15,3227.2,96.85,174.22,174.22,4.58,3.67,2,1,1,7.74,2.01,3.86,4.57,1.35,6.83,2,1,1,384.37,393.64,23.33,1.48,401.4,1.02,0.24,0.13,0.1,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,23
R324,1.49,1.42,1.4,1.49,1.38,1.39,1.42,1.49,1.38,121.58,117.51,123.89,119.08,119.06,118.46,118.6,117.56,121.37,130.75,0.47,179.65,178.22,1.17,176.57,2.5,53.27,2.84,2.84,2.41,2.41,47.34,47.73,42.59,191.29,186.99,41.03,60.16,59.79,48.37,46.91,-0.07,-0.08,0.33,-0.83,-0.83,0.33,-0.07,-0.07,-0.08,-0.07,-0.26,-0.03,1504.06,1252.48,1252.48,1339.81,1339.81,35.71,103.74,103.74,45.75,45.75,11.6,2.73,4.43,5.23,1.35,3.89,4.92,1.35,3.98,11.6,2.73,4.43,748.78,764.71,51.01,1.85,736.85,4.07,0.05,0.03,0.02,1.28,16.16,-111.2,0.33,-0.49,-0.25,-0.01,1755.16,325.59,269.69,252.96,12.81,1.39,225.29,1.81,1.87,0.17,0.16,32
R238,1.09,1.42,1.37,1.49,1.38,1.38,1.42,1.09,1.38,119.35,120.41,121.42,119.19,119.94,119.46,118.07,118.8,118.5,121.74,4.29,179.66,178.44,2.86,179.67,1.01,100.3,2.66,2.61,2.42,2.4,23.13,62.16,30.99,221.75,227.09,28.06,57.28,59.07,52.11,23.39,0.27,-0.3,0.34,-0.82,-0.83,0.33,-0.08,-0.09,-0.08,0.27,-0.25,-0.01,1099.35,1275.05,1262.78,3219.89,3217.55,56.99,250.5,297.02,19.48,5.05,2,1,1,5.64,1.35,5.5,5.64,1.35,5.5,2,1,1,533.67,545.43,11.14,1.65,514.59,2.77,0.12,0.1,0.09,1.33,49.81,48.66,-0.35,-0.16,-0.33,0,1750.32,104.01,191.51,161.8,39.34,1.33,158.15,2.38,2.09,0.65,0.55,37.9
R255,1.49,1.42,1.39,1.49,1.38,1.39,1.42,1.49,1.38,121.75,117.53,123.89,119.2,119.03,118.47,118.59,117.55,121.58,130.28,0.71,179.4,178.76,0.34,177.18,2.03,53.4,2.85,2.84,2.41,2.41,45.97,47.56,42.63,191.13,186.68,41.06,60.13,59.8,48.1,45.9,-0.07,-0.08,0.33,-0.83,-0.83,0.33,-0.07,-0.07,-0.08,-0.07,-0.26,-0.03,1511.25,1251.48,1251.48,1697.17,1698.69,46.55,105.6,105.6,5.68,4.74,6.36,1.51,3.15,5.23,1.35,3.89,4.92,1.35,3.98,6.36,1.51,3.15,477.98,490.02,51.15,1.59,500.49,4.07,0.13,0.09,0.07,1.28,16.16,-111.2,0.33,-0.49,-0.25,-0.01,1755.16,325.59,269.69,252.96,12.81,1.39,225.29,1.81,1.87,0.17,0.16,40
R303,1.49,1.42,1.39,1.49,1.37,1.39,1.42,1.49,1.38,122.23,117.37,123.26,120.06,119.62,118.2,119.17,117.6,121.28,128.61,2.23,172.48,171,0.56,177.26,1.42,54.32,2.86,2.84,2.41,2.41,47.07,47.37,42.1,187.66,184.82,41.32,60.38,60.77,48.2,47.44,-0.06,-0.08,0.33,-0.83,-0.83,0.32,-0.07,-0.07,-0.08,-0.07,-0.26,-0.03,1507.4,1208.97,1208.97,1528.34,1528.34,59.88,77.25,77.25,17.83,17.83,6.43,1.52,5.63,5.23,1.35,3.89,4.92,1.35,3.98,6.43,1.52,5.63,567.9,592.26,49.78,1.67,600.61,4.61,0.09,0.05,0.04,1.28,15.28,-110.72,0.33,-0.49,-0.25,-0.02,1757.56,294.91,316.51,304.21,12.93,1.45,275.35,1.74,1.07,0.11,0.1,40
R321,1.49,1.42,1.39,1.49,1.38,1.39,1.42,1.49,1.38,120.91,117.47,123.74,119.24,119.09,118.67,118.79,117.42,120.48,130.05,1,177.81,178,0.04,179.77,0.79,53.12,2.83,2.82,2.4,2.4,49.16,49.94,41.61,189.5,184.04,40.05,59.82,59.59,49.81,48.92,-0.04,-0.08,0.33,-0.83,-0.83,0.33,-0.07,-0.07,-0.08,-0.04,-0.25,-0.03,1505.28,1256.83,1256.83,1519.93,1519.93,44.88,121.73,121.73,4.37,4.37,6.43,1.52,5.63,5.23,1.35,3.89,4.92,1.35,3.98,6.43,1.52,5.63,566.69,591.77,51.69,1.66,600.61,4.27,0.1,0.06,0.04,1.34,57.42,52.86,-0.25,-0.02,-0.23,0.03,1743.45,134.31,274.81,256.6,22.19,1.41,233.31,2.56,0.69,0.35,0.25,40
R302,1.49,1.42,1.39,1.49,1.38,1.39,1.42,1.49,1.38,122.03,117.7,123.85,119.19,119.01,118.62,118.45,117.38,121.31,130.03,0.69,179.48,179.26,0.03,177.16,2.14,53.33,2.86,2.83,2.41,2.4,49.18,47.6,42.58,192.42,185.17,40.78,60.12,59.75,48.07,47.29,-0.07,-0.08,0.33,-0.83,-0.83,0.33,-0.07,-0.07,-0.08,-0.07,-0.25,-0.03,1507.19,1249.79,1270.98,1531.14,1531.14,63.81,75.01,60.21,4.37,4.37,6.43,1.52,5.63,5.23,1.35,3.89,4.92,1.35,3.98,6.43,1.52,5.63,571.82,592.56,51.22,1.68,600.61,4.04,0.08,0.05,0.04,1.28,16.16,-111.2,0.33,-0.49,-0.25,-0.01,1755.16,325.59,269.69,252.96,12.81,1.39,225.29,1.81,1.87,0.17,0.16,44
R322,1.49,1.42,1.39,1.49,1.38,1.39,1.42,1.49,1.38,120.91,117.47,123.74,119.24,119.09,118.67,118.79,117.42,120.48,130.05,1,177.81,178,0.04,179.77,0.79,53.12,2.83,2.82,2.4,2.4,49.16,49.94,41.61,189.5,184.04,40.05,59.82,59.59,49.81,48.92,-0.04,-0.08,0.33,-0.83,-0.83,0.33,-0.07,-0.07,-0.08,-0.04,-0.25,-0.03,1505.28,1256.83,1256.83,1519.93,1519.93,44.88,121.73,121.73,4.37,4.37,6.43,1.52,5.63,5.23,1.35,3.89,4.92,1.35,3.98,6.43,1.52,5.63,566.69,591.77,51.69,1.66,600.61,4.27,0.1,0.06,0.04,1.28,15.28,-110.72,0.33,-0.49,-0.25,-0.02,1757.56,294.91,316.51,304.21,12.93,1.45,275.35,1.74,1.07,0.11,0.1,44
R304,1.49,1.42,1.39,1.49,1.38,1.39,1.42,1.48,1.38,122.68,117.55,123.26,120,119.59,118.03,119.01,117.82,121.55,128.39,2.6,172.41,171.4,0.68,178,0.82,54.55,2.87,2.85,2.41,2.41,46.34,47.99,42.43,187.84,185.87,41.6,60.14,60.58,49.07,46.54,-0.07,-0.08,0.33,-0.83,-0.83,0.32,-0.07,-0.07,-0.08,-0.07,-0.26,-0.03,1506.94,1280.21,1280.21,1337.89,1337.89,57.75,99.64,99.64,346.2,346.2,10.68,1.87,3.16,5.23,1.35,3.89,4.92,1.35,3.98,10.68,1.87,3.16,633.24,656.4,49.95,1.73,652.69,4.45,0.06,0.04,0.03,1.28,15.28,-110.72,0.33,-0.49,-0.25,-0.02,1757.56,294.91,316.51,304.21,12.93,1.45,275.35,1.74,1.07,0.11,0.1,48
R306,1.49,1.42,1.39,1.49,1.38,1.39,1.42,1.48,1.38,122.16,117.49,123.11,119.83,119.58,118.48,119.21,117.63,121.31,126.28,1.23,173.65,171.65,0.73,178.97,0.04,54.08,2.86,2.84,2.41,2.41,43.1,50.27,42.77,185.67,186.2,42.36,59.84,60.76,51.16,43.19,-0.04,-0.08,0.34,-0.83,-0.83,0.32,-0.06,-0.07,-0.08,-0.04,-0.27,-0.04,1566.49,1251.87,1251.87,1503.67,1503.67,37.97,15.55,15.55,30.42,30.42,6.96,2.28,4.9,5.23,1.35,3.89,4.92,1.35,3.98,6.96,2.28,4.9,614.57,616.51,49.73,1.75,772.48,8.95,0.06,0.03,0.03,1.28,16.26,-113.13,0.32,-0.48,-0.24,-0.02,1759.8,272.23,316.46,304.16,12.9,1.45,275.35,1.64,1.07,0.11,0.1,50
R323,1.48,1.42,1.4,1.49,1.38,1.39,1.42,1.49,1.38,121.82,117.59,123.87,119.29,119.03,118.46,118.54,117.58,121.77,130.16,0.01,179.77,179.27,0.2,175.99,3.43,53.19,2.85,2.85,2.41,2.41,46.75,48.15,42.52,191.48,186.74,41.06,60.27,59.87,48.67,46.44,-0.07,-0.08,0.33,-0.83,-0.83,0.33,-0.07,-0.07,-0.08,-0.07,-0.26,-0.03,1508.52,1253.6,1253.6,1341.51,1341.51,45.4,117.24,117.24,196.39,196.39,10.68,1.87,3.16,5.23,1.35,3.89,4.92,1.35,3.98,10.68,1.87,3.16,636.62,656.66,51.03,1.74,652.69,3.98,0.06,0.04,0.03,1.28,16.16,-111.2,0.33,-0.49,-0.25,-0.01,1755.16,325.59,269.69,252.96,12.81,1.39,225.29,1.81,1.87,0.17,0.16,51
R338,1.48,1.42,1.39,1.49,1.38,1.39,1.42,1.48,1.38,121.62,117.57,123.65,119.06,119.04,119.02,118.78,117.39,121.41,127.19,0.03,179.84,178.82,0.01,178.72,1.17,53.01,2.84,2.83,2.41,2.4,43.74,50.29,43.05,188.23,185.59,41.72,60.04,59.91,50.73,42.67,-0.04,-0.08,0.33,-0.83,-0.83,0.33,-0.06,-0.06,-0.08,-0.04,-0.27,-0.04,1526.43,1256.67,1256.67,1536.69,1540.33,17.38,246.31,246.31,8.58,24.82,6.96,2.28,4.9,5.23,1.35,3.89,4.92,1.35,3.98,6.96,2.28,4.9,618.77,616.8,51.2,1.77,772.48,8.36,0.06,0.03,0.03,1.28,5.95,-105.14,0.28,-0.63,-0.27,0,1747.09,150.8,227.25,213.14,37.58,1.32,197.24,2.46,1.26,0.38,0.33,56
R175,1.36,1.44,1.86,1.5,1.38,1.87,1.43,1.36,1.38,114.24,111.26,118.21,122.98,122.34,115.46,130.2,126.08,115.76,118.46,6.96,178.9,176.26,0.06,176.18,4.25,89.12,2.73,3.14,2.74,2.95,203.98,29.79,57.59,378.16,391.78,51.16,41.18,38.85,29.62,203.49,-0.55,0.34,-0.36,0.91,0.89,-0.35,-0.01,-0.02,0.34,-0.56,-0.25,-0.02,1188.06,1188.06,1177.78,1260.66,1252.32,4.41,4.41,16.54,226.21,180.04,7.27,1.35,5.31,7.12,2.38,5.84,7.12,2.38,5.84,7.27,1.35,5.31,787,881,7.2,1.77,834.94,3.86,0.06,0.03,0.03,1.34,79.88,39.83,-0.46,0.14,-0.27,0.01,1737.25,225.23,203.32,182.46,23.87,1.31,161.2,4.99,1.7,0.65,0.54,59.6
R180,1.09,1.43,1.85,1.5,1.39,1.86,1.42,1.09,1.39,119.31,117.17,118.86,121.45,120.04,117.7,122.8,122.76,119.44,119.51,8.94,176.89,174.09,3.21,179.06,3.02,80.1,2.9,3.03,2.81,2.89,23.02,54.02,41.63,365.63,383.84,39.55,37.46,42.18,55.15,23.97,0.27,-0.25,-0.33,0.9,0.91,-0.33,-0.02,-0.04,-0.25,0.26,-0.25,-0.02,1228.68,1198.75,1189.53,3214.44,3224.42,0.71,2.02,2.05,2.59,12.72,2,1,1,7.12,2.38,5.84,7.12,2.38,5.84,2,1,1,599.12,662.49,0,1.63,622.69,2.78,0.09,0.06,0.06,1.34,36.78,75.17,-0.04,-0.45,-0.26,0.01,1743.56,15.98,212.99,199.55,5.85,1.29,174.24,1.9,1.4,0.65,0.45,61
R81,1.49,1.42,1.39,1.49,1.37,1.39,1.42,1.48,1.38,122.23,117.5,123.11,119.87,119.58,118.41,119.2,117.66,121.28,126.91,1.32,173.56,171.61,0.77,178.88,0.06,54.18,2.86,2.84,2.41,2.41,43.03,50.39,42.92,186.61,186.33,42.39,60.01,60.76,51.17,43.33,-0.04,-0.08,0.33,-0.83,-0.83,0.32,-0.07,-0.07,-0.09,-0.04,-0.26,-0.03,1565.57,1076,1076,1502.89,1502.89,42.05,39.53,39.53,33.17,33.17,6.96,2.28,4.9,5.23,1.35,3.89,4.92,1.35,3.98,6.96,2.28,4.9,614.82,616.61,49.81,1.75,772.48,9.28,0.06,0.03,0.03,1.28,15.28,-110.72,0.33,-0.49,-0.25,-0.02,1757.56,294.91,316.51,304.21,12.93,1.45,275.35,1.74,1.07,0.11,0.1,62
R305,1.5,1.43,1.38,1.49,1.38,1.38,1.42,1.5,1.38,119.09,116.93,122.83,118.97,118.78,119.02,120.22,117.85,119.27,123.11,0.1,177.94,176.04,0.56,179.81,1.61,53.05,2.78,2.8,2.39,2.4,174.92,50.47,34.07,145.81,170.46,35.66,58.5,60.65,50.47,173.89,-0.71,-0.06,0.34,-0.83,-0.83,0.33,-0.07,-0.08,-0.06,-0.72,-0.25,-0.01,1514.86,1268.57,1281.21,1142.19,1133.9,69.11,55.67,224.42,73.62,49.91,2.99,1.5,2.04,9.68,1.35,11.12,10.56,1.66,8.01,2.99,1.5,2.04,661.57,689.16,14.09,1.75,661.72,4.6,0.1,0.04,0.04,1.28,10.86,-131.22,0.33,-0.48,-0.29,-0.06,1759.79,366.37,258.45,243.95,5.08,1.37,209.29,2.23,1.48,0.27,0.24,62
R167,1.49,1.42,1.39,1.49,1.38,1.39,1.42,1.49,1.38,120.97,117.08,123.7,119.14,119.14,119.12,119.2,117.17,120.62,130.11,0.18,178.96,177.07,0.54,177.47,2.42,53.07,2.82,2.81,2.4,2.4,48.03,47.19,40.9,183.65,177.79,39.67,60.95,61,47.95,46.64,-0.03,-0.08,0.33,-0.82,-0.83,0.33,-0.07,-0.07,-0.08,-0.03,-0.25,-0.03,1506.25,1280.54,1280.54,1516.58,1516.58,23.3,60.06,60.06,10.89,10.89,8.46,1.52,5.63,5.23,1.35,3.89,4.92,1.35,3.98,8.46,1.52,5.63,654.45,693.04,50.89,1.73,700.73,3.36,0.07,0.04,0.03,1.34,57.99,52.5,-0.24,-0.02,-0.22,0,1763.12,43.44,262.88,253.97,9.13,1.36,223.32,1.65,0.84,0.37,0.27,65
R178,1.09,1.43,1.85,1.5,1.39,1.86,1.42,1.09,1.39,119.31,117.17,118.86,121.45,120.04,117.7,122.8,122.76,119.44,119.51,8.94,176.89,174.09,3.21,179.06,3.02,80.1,2.9,3.03,2.81,2.89,23.02,54.02,41.63,365.63,383.84,39.55,37.46,42.18,55.15,23.97,0.27,-0.25,-0.33,0.9,0.91,-0.33,-0.02,-0.04,-0.25,0.26,-0.25,-0.02,1228.68,1198.75,1189.53,3214.44,3224.42,0.71,2.02,2.05,2.59,12.72,2,1,1,7.12,2.38,5.84,7.12,2.38,5.84,2,1,1,599.12,662.49,0,1.63,622.69,2.78,0.09,0.06,0.06,1.34,37.36,74.7,-0.04,-0.45,-0.26,0.01,1742.42,22.15,214.05,199.75,6.98,1.3,174.24,2.05,1.7,0.52,0.41,65
R257,1.49,1.42,1.39,1.49,1.38,1.39,1.42,1.49,1.38,121.12,117.14,123.67,119.3,119.22,118.99,119.17,117.18,120.55,130.04,0.24,178.8,176.76,0.02,177.85,1.8,53.45,2.83,2.81,2.4,2.4,47.57,47.96,41.34,184.89,179.24,40.04,61.18,61.01,48.34,46.97,-0.04,-0.08,0.33,-0.83,-0.83,0.33,-0.07,-0.07,-0.08,-0.04,-0.26,-0.03,1504.78,1250.72,1250.72,1515.32,1515.32,33.25,79.92,79.92,13.96,13.96,8.46,1.52,5.63,5.23,1.35,3.89,4.92,1.35,3.98,8.46,1.52,5.63,654.28,693.23,50.73,1.73,700.73,3.94,0.07,0.04,0.03,1.34,57.63,52.83,-0.25,-0.02,-0.23,0.03,1744.14,132.77,274.75,256.56,22.2,1.41,233.31,2.52,0.69,0.35,0.25,65
R270,1.52,1.44,1.87,1.5,1.39,1.87,1.44,1.51,1.39,121.74,113.21,118.8,121.83,122.2,113.13,127.56,128.15,120.73,118.72,7.62,179.28,178.81,5.05,170.65,8.76,82.66,3.01,3.38,2.77,2.98,123,45.89,46.43,372.31,380.39,41.17,42.52,41.38,44.4,127.73,-0.12,-0.05,-0.32,0.88,0.89,-0.31,-0.02,-0.04,-0.05,-0.14,-0.25,-0.02,1132.49,1187.56,1178.26,1162.71,1187.56,5.12,1.27,5.2,7.93,1.27,8.04,1.53,5.24,7.12,2.38,5.84,7.12,2.38,5.84,8.04,1.53,5.24,793.7,878.9,10.65,1.79,834.94,2.63,0.06,0.03,0.03,1.34,45.2,58.82,-0.16,0.03,-0.28,-0.03,1738.46,515.55,250.21,229.24,45.26,1.38,219.24,2.52,0.93,0.33,0.27,65
R325,1.49,1.42,1.4,1.49,1.38,1.39,1.42,1.49,1.38,120.66,116.94,124.05,119.47,119.28,118.95,118.99,116.96,120.48,130.95,0.31,178.86,177.66,0.82,177.34,3.92,52.2,2.81,2.81,2.4,2.4,45.64,47.94,42.08,187.45,182.1,40.79,60.72,60.23,49,45.96,-0.06,-0.08,0.32,-0.83,-0.83,0.33,-0.07,-0.07,-0.08,-0.06,-0.26,-0.03,1503.48,1247.2,1247.2,1536.36,1536.36,8.97,121.18,121.18,21.14,21.14,6.34,1.87,4.37,5.23,1.35,3.89,4.92,1.35,3.98,6.34,1.87,4.37,542.34,560.8,49.26,1.65,556.6,4.88,0.11,0.08,0.06,1.28,16.16,-111.2,0.33,-0.49,-0.25,-0.01,1755.16,325.59,269.69,252.96,12.81,1.39,225.29,1.81,1.87,0.17,0.16,65
R55,1.09,1.42,1.37,1.49,1.38,1.37,1.42,1.09,1.38,119.23,120.33,121.33,119.27,119.84,119.6,118.23,118.73,118.35,121.66,4.16,179.73,178.62,2.86,179.7,1.24,99.41,2.65,2.6,2.42,2.4,23.27,62.51,30.72,219.03,223.25,27.83,56.86,58.49,52.81,23.5,0.27,-0.3,0.34,-0.81,-0.81,0.34,-0.07,-0.08,-0.08,0.27,-0.25,-0.01,1100.12,1305.45,1283.34,3214.82,3201.38,54.41,90.96,120.03,6.64,3.51,2,1,1,5.64,1.35,5.5,5.64,1.35,5.5,2,1,1,534.62,545.48,10.81,1.66,514.59,2.39,0.12,0.1,0.09,1.32,73.85,38.56,-0.43,0.17,-0.34,0.02,1793.68,34.63,154.82,127.5,19.82,1.26,154.09,3.87,2.31,1.02,0.9,67
R237,1.09,1.41,1.38,1.49,1.38,1.38,1.41,1.08,1.38,118.6,118.75,122.64,118.66,120.56,121.52,118.6,116.33,118.33,121.95,1.78,178.83,176.93,0.58,177.41,2.45,52.88,2.61,2.56,2.4,2.38,23.14,61.9,37.55,140.19,179.02,35.3,60.09,57.45,61.41,25.77,0.27,-0.27,0.31,-0.82,-0.83,0.33,-0.08,-0.08,-0.26,0.27,-0.25,-0.02,1523.41,1277.22,1248.64,3242.28,3248.91,85.85,140.56,110.41,3.89,6.35,2,1,1,7.5,1.35,10.2,10.27,3.32,8.89,2,1,1,616.73,678.57,14.88,1.65,667.68,2.07,0.09,0.05,0.04,1.31,23.18,-90.11,0.25,-0.48,-0.26,0.04,1663.45,25.31,177.03,162.32,7.03,1.23,143.19,2.17,2.8,0.86,0.66,67
