Name,BL32-1,BL1-6,BL6-34,BL5-12,BL12-11,BL33-11,BL11-16,BL16-31,BL6-5,BA32-1-6,BA1-6-34,BA1-6-5,BA6-5-12,BA5-12-11,BA12-11-33,BA5-6-34,BA33-11-16,BA11-16-31,BA12-11-16,DA32-1-6-34,DA32-1-6-5,DA1-6-5-12,DA5-12-11-33,DA12-11-16-31,DA33-11-16-31,DA6-5-12-11,NB32-34,NB33-31,NB1-34,NB33-16,NMR 32,NMR1,NMR6,NMR34,NMR33,NMR11,NMR12,NMR5,NMR16,NMR31,q32,q1,q6,q34,q33,q11,q12,q5,q16,q31,HOMO,LUMO,VF5-12,VF6-34,VF11-33,VF1-32,VF16-31,VI5-12,VI6-34,VI11-33,VI1-32,VI16-31,L1R1,B1R1,B5R1,L1R2,B1R2,B5R2,L1R3,B1R3,B5R3,L1R4,B1R4,B5R4,Area, Vol,PSA, Ovality,MW,dipolemoment,RCx,RCy,RCz,BL12-16S,NMR12-S,NMR16-S,q12-S,q16-S,HOMO-S,LUMO-S,VF12-16S,VI12-16S,Area-S, Vol-S,PSA-S, Ovality-S,MW-S,dipolemoment-S,RCx-S,RCy-S,RCz-S,%ee
R152,1.89,1.42,1.4,1.49,1.38,1.39,1.42,1.89,1.38,121.25,116.69,124.35,120.56,120.86,118.68,118.77,116.82,121.3,125.99,6.99,167.89,169.07,2.4,168.33,6.93,55.55,3.05,3.06,2.4,2.4,401.91,54.13,35.71,172.72,171.5,33.26,62.02,62.41,55.54,403.72,1.89,-0.55,0.33,-0.83,-0.83,0.34,-0.08,-0.07,-0.56,1.89,-0.26,-0.03,1498.8,1272.18,1272.18,786.91,786.91,65.57,128.32,128.32,37.77,37.77,6.38,4.21,6.49,5.23,1.35,3.89,4.92,1.35,3.98,6.38,4.21,6.49,825.6,886.42,42.16,1.85,865.09,4.21,0.06,0.03,0.03,1.34,31.4,66.73,-0.05,-0.43,-0.26,0,1716.29,33.77,383.61,365.79,11.27,1.55,322.48,1.85,0.41,0.14,0.12,99
R153,1.09,1.41,1.38,1.49,1.38,1.37,1.41,1.09,1.38,118.46,117.75,122.5,118.43,118.61,120.13,119.72,117.75,118.3,122.34,0.49,178.65,178.46,0.38,178.49,0.71,52.56,2.59,2.58,2.39,2.39,23.31,61.99,35.48,140.79,169.69,34.53,59.37,58.69,60.91,23.32,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1525.5,1385.31,1385.31,3225.62,3224.92,99.41,192.88,192.88,5.62,6.31,2,1,1,7.72,2,3.86,4.58,1.35,7.56,2,1,1,392.45,402.63,15.53,1.49,399.43,2.62,0.24,0.13,0.1,1.34,80.04,53.6,-0.44,0.03,-0.29,0,1743.25,89.92,175.49,146.86,41.4,1.3,143.14,3.51,3.38,0.69,0.58,99
R170,1.89,1.42,1.39,1.49,1.38,1.39,1.42,1.89,1.38,121.47,116.67,124.23,120.61,120.76,118.79,118.9,116.84,121.35,126.32,5.21,169.6,169.69,2.54,168.55,6.88,55.11,3.06,3.06,2.39,2.39,400.09,53.2,35.15,172.22,168.95,32.68,61.85,62.51,55.18,402.59,1.89,-0.55,0.34,-0.83,-0.83,0.34,-0.08,-0.08,-0.55,1.89,-0.26,-0.02,1500.07,1277.65,1277.65,787.23,787.23,52.93,94.94,94.94,28.57,28.57,6.38,4.21,6.49,5.23,1.35,3.89,4.92,1.35,3.98,6.38,4.21,6.49,822.06,885.7,40.55,1.84,865.09,3.54,0.06,0.03,0.03,1.27,7.4,-109.36,0.28,-0.62,-0.29,-0.04,1750.58,142.62,252.48,234.41,76.06,1.37,242.23,4.7,0.61,0.3,0.22,99
R171,1.09,1.41,1.38,1.49,1.38,1.37,1.41,1.09,1.38,118.46,117.75,122.5,118.43,118.61,120.13,119.72,117.75,118.3,122.34,0.49,178.65,178.46,0.38,178.49,0.71,52.56,2.59,2.58,2.39,2.39,23.31,61.99,35.48,140.79,169.69,34.53,59.37,58.69,60.91,23.32,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1525.5,1385.31,1385.31,3225.62,3224.92,99.41,192.88,192.88,5.62,6.31,2,1,1,7.72,2,3.86,4.58,1.35,7.56,2,1,1,392.45,402.63,15.53,1.49,399.43,2.62,0.24,0.13,0.1,1.33,51.89,50.27,-0.36,-0.16,-0.32,0,1752.73,50.1,191.24,161.83,39.33,1.33,158.15,3.83,2.56,0.51,0.44,99
R203,1.09,1.41,1.38,1.49,1.38,1.38,1.41,1.09,1.38,118.52,117.94,122.49,118.43,118.56,120.05,119.55,117.94,118.36,122.34,0.22,178.66,178.87,0.51,178.71,0.63,52.79,2.59,2.58,2.39,2.39,23.34,62.04,35.74,141.47,172.69,34.82,59.31,58.56,61.09,23.28,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1526.26,1384.46,1384.46,3232.51,3223.89,97.91,163.72,163.72,6.73,5.36,2,1,1,9.98,2.57,3.87,5.29,1.35,9.75,2,1,1,434.28,449.7,15.51,1.53,447.47,2.21,0.23,0.08,0.07,1.35,57.04,62.91,-0.2,0.05,-0.27,-0.02,1751.43,44.03,251.68,229.55,41.26,1.39,219.24,2.78,0.77,0.35,0.26,99
R205,1.09,1.41,1.38,1.49,1.38,1.38,1.41,1.09,1.38,118.5,117.86,122.5,118.55,118.62,120.11,119.62,117.86,118.34,122.34,0.3,178.66,178.73,0.87,178.3,0.59,52.85,2.59,2.58,2.39,2.39,23.32,62.09,35.87,141.95,172.27,34.95,59.14,58.58,60.9,23.33,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1526.07,1384.71,1384.71,3228.01,3224.58,102.04,176.82,176.82,7.88,3.18,2,1,1,11.65,2.09,5.32,4.58,1.35,11.78,2,1,1,466.57,480.84,17.67,1.57,476.52,1.18,0.21,0.06,0.05,1.34,87.83,44.15,-0.49,0.14,-0.27,0,1734.31,52.87,218.94,196.14,21.97,1.34,195.65,3.63,2.11,0.28,0.25,99
R208,1.4,1.43,1.86,1.5,1.4,1.86,1.42,1.4,1.39,118.72,115.59,116.88,121.5,120.04,115.86,126.92,127.06,120.88,117.03,0.95,172.66,169.26,0.31,171.34,6.12,76.2,2.94,3.27,2.79,2.94,90.73,35.54,46.14,375.83,389.03,45.16,37.47,40.28,32.59,71.7,-0.56,0.29,-0.35,0.9,0.91,-0.36,-0.01,-0.03,0.3,-0.56,-0.25,-0.03,1095.76,1171.49,1164.96,1236.8,1257.87,6.03,320.99,144.9,204.5,131.21,6.23,1.69,4.25,7.12,2.38,5.84,7.12,2.38,5.84,6.23,1.69,4.25,782.75,861.63,33.9,1.79,822.92,4.19,0.06,0.04,0.04,1.33,80.81,50.47,-0.44,0.03,-0.3,0.01,1741.77,389.88,173.2,146,44.92,1.29,143.14,8.49,2.06,1,0.92,99
R209,1.09,1.41,1.37,1.49,1.38,1.38,1.41,1.09,1.38,118.29,117.64,122.25,118.76,118.48,119.61,120.11,117.91,118.46,122.45,0.25,178.41,178.36,0.04,178.64,0.49,52.67,2.58,2.59,2.39,2.39,23.3,61.12,34.48,141.59,169.68,35.55,58.62,59.44,62.03,23.31,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1521.61,1252,1280.81,3225.36,3233.88,104.79,45.37,141.12,5.43,10.07,2,1,1,7.75,2.01,3.87,4.65,1.35,7.56,2,1,1,392.82,402.68,15.6,1.49,399.43,2.59,0.24,0.13,0.1,1.28,14.83,-110.19,0.33,-0.49,-0.25,-0.01,1759.93,336.78,325.1,306.92,24.61,1.48,285.34,1.67,0.65,0.14,0.12,99
R282,1.49,1.43,1.38,1.49,1.38,1.37,1.43,1.49,1.38,121.56,119.48,121.56,120.98,120.03,122.67,118.96,116.11,121.97,121.14,3.49,176.17,175.1,8.46,177.17,5.91,73.91,2.89,2.83,2.43,2.38,44.48,43.48,30.97,228.77,227.93,36.38,59.86,58.22,44.65,44.08,-0.06,-0.08,0.36,-0.81,-0.81,0.36,-0.09,-0.08,-0.07,-0.05,-0.25,-0.02,1050.05,1269.46,1269.46,1211.73,1211.73,61.95,241.46,241.46,98.16,98.16,6.33,1.62,4.37,7.48,1.52,6.53,7.48,1.52,6.53,6.33,1.62,4.37,823.83,917.16,6.67,1.8,862.99,1.12,0.05,0.04,0.03,1.36,85.16,30.23,-0.42,0.25,-0.28,-0.03,1695,777.04,269.82,247.1,42.21,1.42,233.27,4.5,0.78,0.27,0.21,99
R284,1.09,1.41,1.38,1.49,1.38,1.37,1.41,1.09,1.38,118.46,117.75,122.5,118.43,118.61,120.13,119.72,117.75,118.3,122.34,0.49,178.65,178.46,0.38,178.49,0.71,52.56,2.59,2.58,2.39,2.39,23.31,61.99,35.48,140.79,169.69,34.53,59.37,58.69,60.91,23.32,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1525.5,1385.31,1385.31,3225.62,3224.92,99.41,192.88,192.88,5.62,6.31,2,1,1,7.72,2,3.86,4.58,1.35,7.56,2,1,1,392.45,402.63,15.53,1.49,399.43,2.62,0.24,0.13,0.1,1.34,87.83,44.15,-0.49,0.14,-0.27,0,1734.31,52.87,218.94,196.14,21.97,1.34,195.65,3.63,2.11,0.28,0.25,99
R357,1.4,1.43,1.86,1.5,1.4,1.86,1.42,1.4,1.39,118.72,115.59,116.88,121.5,120.04,115.86,126.92,127.06,120.88,117.03,0.95,172.66,169.26,0.31,171.34,6.12,76.2,2.94,3.27,2.79,2.94,90.73,35.54,46.14,375.83,389.03,45.16,37.47,40.28,32.59,71.7,-0.56,0.29,-0.35,0.9,0.91,-0.36,-0.01,-0.03,0.3,-0.56,-0.25,-0.03,1095.76,1171.49,1164.96,1236.8,1257.87,6.03,320.99,144.9,204.5,131.21,6.23,1.69,4.25,7.12,2.38,5.84,7.12,2.38,5.84,6.23,1.69,4.25,782.75,861.63,33.9,1.79,822.92,4.19,0.06,0.04,0.04,1.33,61.66,47.91,-0.38,0,-0.31,-0.01,1738.29,229.01,150.24,125.17,46.99,1.24,129.12,10.36,3.09,1.18,0.88,99
R358,1.09,1.41,1.38,1.49,1.38,1.38,1.41,1.09,1.38,118.48,117.73,122.55,118.43,118.64,120.11,119.69,117.73,118.34,122.4,0.61,178.71,178.42,0.45,178.42,0.82,52.55,2.59,2.58,2.39,2.39,23.33,62.15,35.73,141.85,170.07,34.82,59.34,58.8,60.99,23.32,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1524.66,1385.09,1385.09,3224.15,3227.2,96.85,174.22,174.22,4.58,3.67,2,1,1,7.74,2.01,3.86,4.57,1.35,6.83,2,1,1,384.37,393.64,23.33,1.48,401.4,1.02,0.24,0.13,0.1,1.34,88.87,43.1,-0.5,0.15,-0.27,0.01,1734.2,49.45,203.32,182.53,21.95,1.31,161.2,5.15,2.29,0.5,0.43,99
