Name,Target_values,Predicted Target_values,x6,x7,x10,Set
1,1.854766065,1.78484177425,49.77253406,1,0,Training
3,0.860667495,0.8602447834499998,13.69721973,0,1,Training
5,0.952469022,0.9591985914000001,4.54356311,1,1,Training
6,0.308776518,0.4034361843000001,-30.68007886,0,2,Training
7,0.982261986,1.00436288055,9.545828003,1,1,Training
8,1.129601283,1.04856466965,8.992318787,1,1,Training
10,0.515551116,0.5177558502999998,-38.72420953,0,2,Training
11,0.515551116,0.4861460235,-27.60272668,0,2,Training
12,0.44305174,0.4194163222999999,-34.17078088,0,2,Training
16,2.091025544,2.05879680165,41.79944019,2,0,Training
17,1.902644865,1.9551874281999997,41.8678548,2,0,Training
19,1.16234335,1.4006360055500005,10.35686438,1,0,Training
20,1.989080521,1.8132563759999993,5.392952454,2,0,Training
21,2.801329141,2.60091490195,37.37807532,2,0,Training
22,2.391560251,2.318546884900001,37.94816656,2,0,Training
23,2.011592734,2.2045566298,37.67461462,2,0,Training
24,0.998633019,0.9822408198999998,3.963811401,1,1,Training
25,1.031375085,1.0130099779500001,6.579312805,1,1,Training
26,1.006818535,0.9883152750500003,4.748151306,1,1,Training
27,1.694401925,1.73673253225,51.03182953,1,0,Training
28,0.515838419,0.51785640635,-39.33034802,0,2,Training
29,0.916777853,0.8854944445499997,17.6069458,0,1,Training
30,0.837770564,0.7375372213999999,-46.53008618,1,2,Training
31,0.942297022,0.9597064210999999,3.394236328,1,1,Training
32,0.965415203,0.9717539422499998,4.93293689,1,1,Training
34,1.178714383,1.2191055335499994,-69.57365125,2,1,Training
35,0.410599034,0.35283624690000004,-76.49032831,0,3,Training
36,0.321084552,0.3483605228,-76.60640192,0,3,Training
37,0.329517076,0.3404144911000001,-65.96866846,0,3,Training
2,2.034511341,1.73673253225,55.53135138,1,0,Validation
4,1.026447198,0.8854944445499997,18.04229437,0,1,Validation
9,1.047746118,1.04856466965,8.735651611,1,1,Validation
13,2.221390241,1.9551874281999997,43.34847083,2,0,Validation
14,2.138192104,1.9551874281999997,42.81450446,2,0,Validation
15,1.883806797,1.9551874281999997,42.27521106,2,0,Validation
18,2.312908191,1.9551874281999997,43.36078467,2,0,Validation
33,0.39762592,0.35663088270000004,-71.26043939,0,3,Validation
