code_name,Ru_Partial charge,Ru_Dipole moment,Ru_Electrophil.,Ru_Nucleophil.,Ru_Radical attack,Ru_SASA,Ru_Buried volume,Ru_H bond with H2O,Ru_s proportion,Ru_p proportion,Ru_d proportion,Ru_Coord. numbers,Ru_Polariz. alpha,Ru_FOD,Ru_Dispersion,Ru_Pyramidalization,Ru_Pyramidaliz. volume,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP,conv,sel,sel2,yield,TON,TON2
CAAC.31_pre,0.2015,0.7324,0.0462,0.0415,0.0437,0,0.9453,0,0.4296,0.6559,6.7505,4.0433,37.7862,0.5685,63.6069,0.9382,7.76,5.2402,-5.8123,-0.5721,6.0986,0.9523,1.7723,0,792.941,-16.7664,-1.5732,-8.3869,488.2823,1.3626,5.1463,0.1943,3.5254,1.2075,1.1113,9.597,6.9097,31.0778,11.25588,54,91,1,49,164000,0
CAAC.02_pre,0.1091,0.5428,0.0615,0.0569,0.0584,0,0.9765,0,0.45,0.714,6.8091,4.4031,37.9339,0.8054,76.5478,0.0503,0.4503,2.8629,-4.7549,-1.8921,5.6568,1.4443,0.8116,0,819.7487,-18.1645,-1.6863,-8.3496,615.3062,2.0677,4.2125,0.2374,3.5506,1.4963,0.9938,9.1628,7.6209,18.3489,14.26889,3,0,0,0,0,0
sCAAC.12_pre,0.2203,0.7599,0.0514,0.0494,0.0507,0,0.9432,0,0.4282,0.652,6.7603,4.0824,37.8104,0.5994,61.223,0.0692,1.668,4.8842,-5.6035,-0.7193,6.1268,1.1013,1.5622,0,751.397,-16.8162,-1.4565,-8.4721,482.991,1.4475,5.0255,0.199,3.6141,1.2995,1.0593,9.6808,7.0244,29.281,11.49578,73,95,1,69.4,1387000,1
CAAC.30_pre,0.2053,0.7419,0.047,0.0424,0.0446,0,0.946,0,0.4288,0.6536,6.7544,4.0575,37.7885,0.5716,66.9,0.9599,8.0443,5.2201,-5.8082,-0.5881,6.0966,0.9518,1.6201,0,782.2086,-16.9792,-1.6153,-8.3954,476.5952,1.3696,5.1449,0.1944,3.5242,1.207,1.1117,9.5996,6.8886,30.819,11.0019,36,90,1,32,107000,0
CAAC.03_pre,0.1134,0.5489,0.0624,0.0479,0.0551,0,0.9855,0,0.451,0.716,6.8051,4.4049,37.9239,0.7933,80.7278,0.0227,0.1964,3.0305,-4.807,-1.7765,5.5539,1.3937,0.5577,0,918.8838,-18.6956,-1.7298,-8.2892,717.4807,2.137,4.1602,0.2404,3.4738,1.4504,1.0209,8.9183,7.6817,18.6574,16.13229,21,92,1,19,19000,0
CAAC.01_pre,0.1033,0.5208,0.0604,0.0551,0.0585,0,0.981,0,0.4508,0.7158,6.804,4.4071,37.9308,0.8049,77.7757,0.0787,0.6768,2.9926,-4.8694,-1.8768,5.6932,1.4858,1.7924,0,858.1869,-16.8134,-1.517,-8.3933,638.9198,2.0914,4.2074,0.2376,3.5895,1.5312,0.9766,9.1805,7.6721,18.3244,14.66797,1,0,0,0,0,0
CAAC.32_pre,0.1937,0.7069,0.0463,0.0429,0.0451,0,0.9471,0,0.4274,0.6558,6.7571,4.0395,37.804,0.5685,61.1492,0.8206,6.9081,5.3058,-5.8571,-0.5514,6.1087,0.9593,2.1648,0,764.7918,-17.2303,-1.5472,-8.3982,488.1746,1.3591,5.1493,0.1942,3.534,1.213,1.1077,9.6257,6.927,31.6036,11.5629,57,95,1,54,181000,0
CAAC.33_pre,0.1731,0.6887,0.0495,0.0484,0.049,0,0.9408,0,0.422,0.6521,6.774,3.9952,37.8228,0.5871,60.8049,0.959,8.2367,5.2357,-5.8129,-0.5772,6.0916,0.9811,2.2351,0,846.7898,-18.3296,-1.6607,-8.391,534.5646,1.3843,5.1104,0.1957,3.5363,1.2235,1.1026,9.5265,6.9426,31.1436,12.72608,68,87,0,59,197000,0
CAAC.29_pre,0.1689,0.6953,0.0477,0.0453,0.0465,0,0.9529,0,0.4232,0.6626,6.7643,4.3191,37.83,0.5558,62.5918,0.5021,4.4955,5.3886,-5.9103,-0.5217,6.1388,0.9951,1.7335,0,724.6387,-17.569,-1.4731,-8.4223,464.9142,1.3464,5.1437,0.1944,3.567,1.2369,1.092,9.8108,6.9723,31.9497,10.83758,35,92,1,33,108000,0
CAAC.28_pre,0.2051,0.7344,0.0478,0.0441,0.0454,0,0.9481,0,0.429,0.659,6.749,4.0491,37.79,0.5672,64.2508,0.9613,8.066,5.2147,-5.7424,-0.5277,6.1631,0.972,1.6366,0,701.1586,-16.5605,-1.4668,-8.4209,441.7032,1.3456,5.1911,0.1926,3.5675,1.2259,1.0965,9.8619,6.901,31.5608,10.1935,44,89,0,39,132000,0
