Name,Target_values,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1,1.854766065,12,110.9270401,70.8240401,Csub-H,89.87553406,49.77253406,1,0,0,0,1
2,2.034511341,11.7,110.6553116,70.25231158,Csub-Csub,78.65235138,55.53135138,1,0,0,0,1
..., , , , , , , , , , , , 
36,0.321084552,-101.6,110.7593079,-42.94369214,Csub-O,59.81459808,-76.60640192,0,2,1,3,3
37,0.329517076,-101.6,115.2292938,-38.47370618,Csub-O,70.45233154,-65.96866846,0,2,1,3,3
