level,PLQY,Von,CE,PE,EQE
145,0.47,3.0,39.3,37.0,14.7
146,0.79,3.3,67.4,62.3,20.3
147,0.44,3.5,10.3,9.5,3.8
148,0.7,3.3,41.1,35.8,20.0
149,0.64,3.3,39.0,33.5,16.5
150,0.42,3.4,18.0,15.5,7.3
151,0.67,3.1,45.2,40.0,14.1
152,0.2,3.4,11.4,0.0,3.5
153,0.52,3.1,21.4,17.6,6.5
154,0.62,2.5,41.2,44.9,12.7
155,0.36,3.1,33.6,32.6,12.8
156,0.85,3.1,28.6,28.4,15.8
157,0.52,3.3,0.0,0.0,2.4
158,0.31,3.5,0.0,0.0,3.4
159,0.4,3.0,26.5,21.5,9.4
160,0.44,3.5,25.4,16.1,9.5
161,0.49,3.2,23.1,17.3,8.2
162,0.58,4.0,20.0,0.0,6.5
163,0.76,3.6,30.5,0.0,10.1
164,0.56,4.0,20.0,0.0,6.5
165,0.77,3.6,30.5,0.0,10.1
166,0.69,4.0,30.8,24.2,9.5
167,0.56,4.5,20.7,14.5,8.1
168,0.9,2.6,0.0,48.5,16.9
169,0.89,2.6,48.7,50.5,15.5
170,0.74,3.0,50.3,0.0,16.2
171,0.34,3.2,21.1,0.0,7.8
172,0.06,4.0,1.7,0.0,1.0
173,0.29,3.2,10.6,0.0,7.1
174,0.56,3.2,26.1,0.0,12.9
175,0.81,2.8,42.7,0.0,18.8
176,0.61,4.4,11.6,7.6,8.0
177,0.94,3.9,37.3,27.6,19.1
178,0.6,2.8,62.9,0.0,19.7
179,0.99,3.4,49.9,41.4,22.8
180,0.98,3.5,33.6,29.3,21.3
181,0.11,0.0,0.0,0.0,0.0
182,0.74,3.6,30.1,23.8,20.9
183,0.83,4.4,25.7,16.9,17.4
184,0.84,3.1,19.3,18.3,22.5
185,0.73,0.0,0.0,0.0,0.0
186,0.94,2.7,44.3,47.1,14.1
187,0.7,0.0,0.0,0.0,0.0
188,0.99,3.5,4.0,3.8,9.9
189,0.93,3.0,4.6,4.1,6.1
190,0.9,2.6,15.0,15.7,6.0
191,0.41,3.7,2.2,2.0,8.2
192,0.52,3.5,5.6,5.0,15.8
193,0.43,3.6,12.3,8.9,8.7
194,0.73,3.2,40.9,36.0,23.1
195,0.37,3.8,5.8,5.1,3.8
196,0.48,3.4,10.3,9.5,6.1
197,0.7,3.2,30.7,30.2,15.0
198,0.55,4.4,12.0,7.9,10.1
199,0.94,4.4,19.9,11.2,9.2
200,0.97,6.3,16.7,7.6,11.0
