Name,Target_values,Predicted Target_values,x6,x7,x10,Set
1.0,1.854766065,1.8428959718645246,1.3706460210660538,0.176108240129612,-1.1229652157256584,Training
2.0,2.034511341,2.0196726873374473,1.517599156897346,0.176108240129612,-1.1229652157256584,Training
3.0,0.860667495,0.8652153119236811,0.4500784336064379,-1.1153521874875427,-0.09358043464380479,Training
4.0,,1.0282571010631996,,,,Training
5.0,0.952469022,0.9555007023361602,0.21649600341539532,0.176108240129612,-0.09358043464380479,Training
6.0,0.308776518,0.322439021028547,-0.6823386626736853,-1.1153521874875427,0.9358043464380488,Training
7.0,0.982261986,0.984801624381661,0.34414348230523334,0.176108240129612,-0.09358043464380479,Training
8.0,,1.1297075577300812,,,,Training
9.0,,1.0492042614254034,,,,Training
10.0,0.515551116,0.5257986591292662,-0.8876082799070332,-1.1153521874875427,0.9358043464380488,Training
11.0,0.515551116,0.5257986591292662,-0.603810984544756,-1.1153521874875427,0.9358043464380488,Training
12.0,,0.4544966374665862,,,,Training
16.0,,2.075253537116831,,,,Training
17.0,1.902644865,1.8899840355574191,1.1689349160856344,1.4675686677467665,-1.1229652157256584,Training
18.0,,2.293471709132089,,,,Training
19.0,1.16234335,1.1619088772354362,0.3648394572338841,0.176108240129612,-1.1229652157256584,Training
20.0,1.989080521,1.974992174338365,0.2381706669281605,1.4675686677467665,-1.1229652157256584,Training
21.0,2.801329141,2.7738262042853545,1.0543650075237514,1.4675686677467665,-1.1229652157256584,Training
23.0,,1.9971325897124348,,,,Training
24.0,0.998633019,1.0009022836425965,0.20170193600415456,0.176108240129612,-0.09358043464380479,Training
25.0,1.031375085,1.0331036021644675,0.26844413526685795,0.176108240129612,-0.09358043464380479,Training
26.0,,1.008952612781322,,,,Training
27.0,,1.6851803056745556,,,,Training
28.0,0.515838419,0.5260812172126594,-0.903075683525515,-1.1153521874875427,0.9358043464380488,Training
29.0,0.916777853,0.9203989863544338,0.5498465759700603,-1.1153521874875427,-0.09358043464380479,Training
30.0,0.837770564,0.8426965323114141,-1.0867981461398035,0.176108240129612,0.9358043464380488,Training
31.0,0.942297022,0.9454966967244045,0.18716755534616783,0.176108240129612,-0.09358043464380479,Training
32.0,,0.9682330723100891,,,,Training
33.0,0.39762592,0.40982104189063256,-1.7178657338897416,-1.1153521874875427,1.9651891275199025,Training
34.0,1.178714383,1.1780095364963725,-1.674822380909058,1.4675686677467665,-0.09358043464380479,Training
35.0,,0.42257990005598306,,,,Training
36.0,,0.3345437832390937,,,,Training
37.0,0.329517076,0.3428370409482229,-1.5828306582738383,-1.1153521874875427,1.9651891275199025,Training
,,,1.2067171822142946,1.4675686677467665,-1.1229652157256584,Training
13.0,,1.0492042614254034,,,,Validation
14.0,2.138192104,1.9971325897124348,1.1930914621853859,1.4675686677467665,-1.1229652157256584,Validation
15.0,1.883806797,1.8428959718645246,1.1793298073421445,1.4675686677467665,-1.1229652157256584,Validation
22.0,2.391560251,2.0196726873374473,1.06891255969857,1.4675686677467665,-1.1229652157256584,Validation
,,,0.5609557732212016,-1.1153521874875427,-0.09358043464380479,Validation
,,,0.33001906916918333,0.176108240129612,-0.09358043464380479,Validation
,,,0.32346945241937436,0.176108240129612,-0.09358043464380479,Validation
,,,-0.7714141758541635,-1.1153521874875427,0.9358043464380488,Validation
,,,1.1671891163983863,1.4675686677467665,-1.1229652157256584,Validation
,,,1.207031406003933,1.4675686677467665,-1.1229652157256584,Validation
,,,1.061932078609836,1.4675686677467665,-1.1229652157256584,Validation
,,,0.22171667205023005,0.176108240129612,-0.09358043464380479,Validation
,,,1.4027806431545076,0.176108240129612,-1.1229652157256584,Validation
,,,0.22643201888557932,0.176108240129612,-0.09358043464380479,Validation
,,,-1.8513217082916746,-1.1153521874875427,1.9651891275199025,Validation
,,,-1.8542836673240475,-1.1153521874875427,1.9651891275199025,Validation
